Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
29-09-10,Indosolar,357,1.44,1.30,1.81,29.00,29.75,23.70,-18.28,3.69,-87.28
09-09-10,Gujarat Pipavav,500,13.20,85.70,9.15,46.00,56.25,54.05,17.5,98.45,114.02
25-08-10,Prakash Steelag,68.75,1.27,10.91,6.62,110.00,118.55,18.80,-82.91,4.41,-95.99
18-08-10,Bajaj Consumer ,297,20.19,53.49,6.62,660.00,730.00,151.65,-77.02,190.90,-71.08
16-08-10,Bharat Fin,1653.97,20.38,18.26,2.81,985.00,1036.00,1088.58,10.52,898.20,-8.81
28-07-10,Shri Aster,53.1,0.01,12.46,7.41,118.00,127.70,199.10,68.73,1.28,-98.92
21-07-10,Hindustan Media,270,8.98,3.39,1.00,166.00,177.95,189.20,13.98,70.25,-57.68
16-07-10,Technofab Engg,71.76,4.28,48.85,10.03,240.00,265.00,295.65,23.19,6.85,-97.15
01-07-10,Parabolic Drugs,200,1.48,1.20,0.40,75.00,76.00,64.80,-13.6,5.70,-92.40
21-05-10,Jaypee Infra,1650,1.77,1.15,0.61,102.00,98.00,91.30,-10.49,1.95,-98.09
20-05-10,SJVN,1079,9.03,3.39,3.12,26.00,27.10,25.05,-3.65,27.95,7.50
19-05-10,GB Global,107.9,7.97,10.52,2.81,130.00,131.00,133.65,2.81,9.80,-92.46
18-05-10,Tarapur Trans,63.75,0.03,5.08,2.74,75.00,75.00,56.90,-24.13,4.10,-94.53
13-05-10,NEL HOLDINGS SO,405,2.54,0.22,0.16,54.00,50.00,50.95,-5.65,2.20,-95.93
10-05-10,Talwalkars Fitn,77.44,35.43,51.48,8.43,128.00,138.00,162.60,27.03,1.45,-98.87
16-04-10,Goenka Diamond,145,0.78,2.99,0.66,135.00,130.00,12.79,-90.53,1.09,-99.19
12-04-10,Intrasoft Tech,53.65,21.97,21.60,13.51,145.00,140.00,159.35,9.9,175.35,20.93
09-04-10,Shree Ganesh,385.29,1.38,6.13,1.39,260.00,258.85,163.25,-37.21,0.82,-99.68
06-04-10,Persistent,168.01,144.43,107.73,21.69,310.00,400.00,204.00,-34.19,"4,092.85",1220.27
05-04-10,Pradip Overseas,116.6,8.57,45.35,10.53,110.00,120.00,89.29,-18.83,1.14,-98.96
30-03-10,ILandFS Trans,700,52.61,39.39,4.56,258.00,287.00,253.68,-1.67,3.70,-98.57
29-03-10,DQ Entertain,128.38,93.86,272.88,19.45,80.00,135.00,108.55,35.69,0.91,-98.86
18-03-10,United Bank,330,47.08,39.15,9.80,66.00,77.00,68.80,4.24,4.48,-93.21
11-03-10,Man Infra,142,96.06,104.57,10.26,252.00,335.00,46.43,-81.58,92.85,-63.15
10-03-10,Texmo Pipes,45,1.02,30.50,7.26,90.00,92.80,137.25,52.5,52.85,-41.28
03-03-10,ARSS Infra,103,49.34,124.53,18.55,450.00,640.00,736.30,63.62,27.75,-93.83
25-02-10,Hathway Cable,735.4,1.43,4.29,0.28,240.00,246.00,41.56,-82.68,20.15,-91.60
24-02-10,Emmbi Ind,43.08,0.43,5.55,0.46,45.00,46.00,28.65,-36.33,97.20,116.00
24-02-10,DB Realty,1500,1.35,1.21,0.01,468.00,452.10,455.40,-2.69,38.40,-91.79
23-02-10,Aqua Logistics,150,0.26,5.07,3.00,220.00,225.00,24.46,-88.88,1.40,-99.36
19-02-10,Thangamayil,0,0.52,1.52,2.26,75.00,70.00,71.10,-5.2,"1,312.40",1649.87
15-02-10,Vascon Engineer,199.8,1.12,3.65,0.62,165.00,155.90,146.38,-11.28,23.35,-85.85
15-02-10,Syncom Health,56.25,0.99,16.60,6.25,75.00,88.00,87.85,17.13,4.06,-94.59
08-02-10,Jubilant Food,328.7,59.39,51.95,3.79,145.00,160.00,114.50,-21.03,"3,748.80",2485.38
03-02-10,Infinite Comp,189.8,48.44,106.02,11.08,165.00,178.35,184.51,11.82,473.75,187.12
